time,station_id,sbe_salinity_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-02 05:00:00+00:00,Mace Head,33.2141,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 05:30:00+00:00,Mace Head,33.2118,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 06:00:00+00:00,Mace Head,33.1977,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 06:30:00+00:00,Mace Head,33.191,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 07:00:00+00:00,Mace Head,33.185,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 07:30:00+00:00,Mace Head,33.1918,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 08:00:00+00:00,Mace Head,33.1903,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 08:30:00+00:00,Mace Head,33.2048,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 09:00:00+00:00,Mace Head,33.2247,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 09:30:00+00:00,Mace Head,33.2404,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 10:00:00+00:00,Mace Head,33.2347,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 10:30:00+00:00,Mace Head,33.2159,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 11:00:00+00:00,Mace Head,33.2011,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 11:30:00+00:00,Mace Head,33.1835,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 12:00:00+00:00,Mace Head,33.1873,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 12:30:00+00:00,Mace Head,33.1847,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 13:00:00+00:00,Mace Head,33.1795,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 13:30:00+00:00,Mace Head,33.1741,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 14:00:00+00:00,Mace Head,33.1735,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 14:30:00+00:00,Mace Head,33.1721,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 15:00:00+00:00,Mace Head,33.1746,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 15:30:00+00:00,Mace Head,33.1851,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 16:00:00+00:00,Mace Head,33.2016,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 16:30:00+00:00,Mace Head,33.2173,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 17:00:00+00:00,Mace Head,33.2125,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 17:30:00+00:00,Mace Head,33.2191,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 18:00:00+00:00,Mace Head,33.2221,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 18:30:00+00:00,Mace Head,33.2315,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 19:00:00+00:00,Mace Head,33.2322,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 19:30:00+00:00,Mace Head,33.2331,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 20:00:00+00:00,Mace Head,33.2325,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 20:30:00+00:00,Mace Head,33.2339,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 21:00:00+00:00,Mace Head,33.2348,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 21:30:00+00:00,Mace Head,33.2355,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 22:00:00+00:00,Mace Head,33.2352,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 22:30:00+00:00,Mace Head,33.2333,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 23:00:00+00:00,Mace Head,33.234,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-02 23:30:00+00:00,Mace Head,33.2381,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 00:00:00+00:00,Mace Head,33.2282,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 00:30:00+00:00,Mace Head,33.2239,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 01:00:00+00:00,Mace Head,33.2212,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 01:30:00+00:00,Mace Head,33.2178,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 02:00:00+00:00,Mace Head,33.1938,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 02:30:00+00:00,Mace Head,33.173,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 03:00:00+00:00,Mace Head,33.1899,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 03:30:00+00:00,Mace Head,33.2445,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 04:00:00+00:00,Mace Head,33.2516,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 04:30:00+00:00,Mace Head,33.1344,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 05:00:00+00:00,Mace Head,33.131,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 05:30:00+00:00,Mace Head,33.1337,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 06:00:00+00:00,Mace Head,33.1415,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 06:30:00+00:00,Mace Head,33.1515,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 07:00:00+00:00,Mace Head,33.1059,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 07:30:00+00:00,Mace Head,33.0901,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 08:00:00+00:00,Mace Head,33.0998,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 08:30:00+00:00,Mace Head,33.092,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 09:00:00+00:00,Mace Head,33.1235,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 09:30:00+00:00,Mace Head,33.1181,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 10:00:00+00:00,Mace Head,33.1429,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 10:30:00+00:00,Mace Head,33.1755,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 11:00:00+00:00,Mace Head,33.2031,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 11:30:00+00:00,Mace Head,33.2069,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 12:00:00+00:00,Mace Head,33.2001,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 12:30:00+00:00,Mace Head,33.1939,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 13:00:00+00:00,Mace Head,33.1824,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 13:30:00+00:00,Mace Head,33.1705,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 14:00:00+00:00,Mace Head,33.1644,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 14:30:00+00:00,Mace Head,33.1642,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 15:00:00+00:00,Mace Head,33.1679,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 15:30:00+00:00,Mace Head,33.1811,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 16:00:00+00:00,Mace Head,33.1967,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 16:30:00+00:00,Mace Head,33.2141,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 17:00:00+00:00,Mace Head,33.2228,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 17:30:00+00:00,Mace Head,33.236,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 18:00:00+00:00,Mace Head,33.2503,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 18:30:00+00:00,Mace Head,33.2637,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 19:00:00+00:00,Mace Head,33.2133,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 19:30:00+00:00,Mace Head,33.2015,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 20:00:00+00:00,Mace Head,33.1947,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 20:30:00+00:00,Mace Head,33.1944,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 21:00:00+00:00,Mace Head,33.2016,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 21:30:00+00:00,Mace Head,33.2051,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 22:00:00+00:00,Mace Head,33.2395,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 22:30:00+00:00,Mace Head,33.3852,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 23:00:00+00:00,Mace Head,33.3771,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-03 23:30:00+00:00,Mace Head,33.3649,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 00:00:00+00:00,Mace Head,33.3531,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 00:30:00+00:00,Mace Head,33.3354,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 01:00:00+00:00,Mace Head,33.3313,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 01:30:00+00:00,Mace Head,33.3443,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 02:00:00+00:00,Mace Head,33.3464,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 02:30:00+00:00,Mace Head,33.3439,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 03:00:00+00:00,Mace Head,33.3448,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 03:30:00+00:00,Mace Head,33.3473,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 04:00:00+00:00,Mace Head,33.3487,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 04:30:00+00:00,Mace Head,33.3531,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 05:00:00+00:00,Mace Head,33.3587,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 05:30:00+00:00,Mace Head,33.3592,1.0,1.0,1.0,1.0,1.0,1,1.0
